low,high,open,close,volumefrom,volumeto,macd,macds,macdh,rsi,sma_50,SMA_100
146.02,146.78,146.4,146.18,1306.29,191103.3,0.0,0.0,0.0,,146.18,146.18
146.12,147.05,146.18,146.82,1170.95,171809.32,0.014358974358998466,0.00797720797722137,0.012763532763554193,100.0,146.5,146.5
145.91,146.92,146.82,146.12,1025.16,150158.24,-0.003410774713529463,0.0033100019564218483,-0.013441553339902622,45.91611479028685,146.37333333333333,146.37333333333333
145.5,146.45,146.12,146.4,2470.1,360629.93,-0.0012999221614222733,0.0017483745452280403,-0.006096593413300627,56.13551852361942,146.38,146.38
144.8,146.4,146.4,145.25,3393.37,493401.94,-0.04588669646255994,-0.012421982132481376,-0.06692942866015712,30.578879636201833,146.154,146.154
145.04,145.89,145.25,145.75,1801.3,261956.4,-0.050446584399111316,-0.022728763473726803,-0.055435641850769025,42.77701281322724,146.08666666666667,146.08666666666667
145.48,146.04,145.75,145.99,791.78,115447.31,-0.041629555667526574,-0.027512049750724604,-0.02823501183360394,47.541775352256465,146.07285714285715,146.07285714285715
145.62,146.16,145.99,145.85,430.74,62882.5,-0.04170649249113012,-0.030923241267798947,-0.021566502446662347,45.17855328479667,146.045,146.045
145.26,145.97,145.85,145.41,497.24,72392.76,-0.06295518933481503,-0.03832278018259347,-0.049264818304443125,38.67220384713861,145.97444444444443,145.97444444444443
144.93,147.01,145.41,146.91,2849.24,415911.85,0.00015149783450851828,-0.029702308477988815,0.05970761262499467,59.88299389084157,146.068,146.068
146.7,147.85,146.91,147.34,3155.38,464849.84,0.06865976253158124,-0.008181249375680894,0.15368202381452425,63.7531753937634,146.18363636363637,146.18363636363637
146.83,147.83,147.34,147.02,2557.9,376904.78,0.10037457963798602,0.01513199004077223,0.17048517919442757,59.177789165047244,146.25333333333333,146.25333333333333
146.61,147.38,147.02,147.0,1911.27,280849.61,0.12143387362468161,0.03762916185779887,0.16760942353376548,58.89330599753863,146.31076923076924,146.31076923076924
146.57,147.09,147.0,146.97,327.7,48124.1,0.13388117805001798,0.057765155460356085,0.1522320451793238,58.43948958829161,146.3578571428571,146.3578571428571
146.79,147.05,146.97,146.85,898.75,132127.56,0.1344391246582859,0.07365917022956736,0.12155990885743706,56.56197424279775,146.39066666666665,146.39066666666665
146.0,146.94,146.85,146.54,1667.96,243951.66,0.11437133996921034,0.08203743126034742,0.06466781741772584,51.92123441412387,146.39999999999998,146.39999999999998
146.4,154.56,146.54,152.57,9184.77,1390294.14,0.470811363338413,0.1615834344270627,0.6184558578227006,82.31560540938086,146.76294117647058,146.76294117647058
152.0,157.36,152.57,155.72,24124.32,3734353.95,0.9366140823066189,0.31943313134790696,1.234361901917424,86.95500431955104,147.26055555555553,147.26055555555553
155.24,158.77,155.72,156.6,9798.82,1534002.75,1.3396466096072572,0.5264593898173738,1.6263744395797668,87.90929350021258,147.75210526315786,147.75210526315786
156.24,158.77,156.6,156.37,9158.6,1440182.37,1.619124555822026,0.7475413241823994,1.7431664632792532,86.13571998100919,148.18299999999996,148.18299999999996
156.37,160.0,156.37,158.91,10796.58,1714869.36,1.9836955002793957,0.9970736892399608,1.9732436220788698,88.8185995169373,148.69380952380948,148.69380952380948
156.56,159.15,158.91,156.58,4183.66,659680.76,2.086026015912381,1.216483110349875,1.7390858111250123,74.56441560902681,149.05227272727268,149.05227272727268
156.51,158.0,156.58,157.74,2865.23,450138.93,2.2194660511878226,1.4182708430494078,1.6023904162768297,76.5796201063372,149.42999999999998,149.42999999999998
157.19,157.88,157.74,157.42,481.57,75871.76,2.2749101243476275,1.590411611102441,1.3689970264903732,74.81860261884333,149.76291666666665,149.76291666666665
157.4,159.45,157.42,158.82,1540.38,244192.93,2.3885842827236274,1.7506515146665256,1.2758655361142037,77.2802035011716,150.12519999999998,150.12519999999998
158.22,159.5,158.82,158.98,1888.82,300006.32,2.4603161791322066,1.893014713928037,1.134602930408339,77.55030370555264,150.4657692307692,150.4657692307692
158.78,163.87,158.98,163.87,6535.69,1057710.25,2.834069586500391,2.081681857605116,1.5047754577905499,83.86406513485719,150.9622222222222,150.9622222222222
163.26,165.76,163.87,163.57,6714.95,1103824.46,3.0710126968742486,2.279931496029535,1.582162401689427,82.3341934316165,151.41249999999997,151.41249999999997
162.71,164.36,163.57,162.94,1518.82,248052.3,3.1747551107971503,2.459173582677792,1.4311630562387165,79.07202817206712,151.80999999999997,151.80999999999997
162.92,164.43,162.94,163.78,3348.12,546753.52,3.2799047411816105,2.623523269436238,1.3127629434907453,80.19856601497418,152.20899999999995,152.20899999999995
163.39,164.63,163.78,163.99,1123.64,184180.89,3.3393872452685684,2.766837996633918,1.1450984972693012,80.48143878051249,152.58903225806446,152.58903225806446
163.16,164.6,163.99,163.92,1244.58,203789.26,3.342080324971647,2.881977685361167,0.9202052792209603,80.07082621765642,152.94312499999995,152.94312499999995
161.9,164.04,163.92,162.0,2350.13,382419.13,3.1633984779306275,2.9382975408243506,0.45020187421255375,69.58421630154547,153.2175757575757,153.2175757575757
160.09,162.43,162.0,162.4,8954.51,1444023.44,3.0169819749709177,2.954042411251443,0.12587912743894947,70.45242880738348,153.48764705882348,153.48764705882348
162.39,163.18,162.4,162.97,3354.69,545904.97,2.9103668358983157,2.9453037513592313,-0.06987383092183119,71.69244931445343,153.75857142857137,153.75857142857137
162.42,163.73,162.97,162.83,1869.6,304770.4,2.7829322838730377,2.9128189159301834,-0.25977326411429136,70.90536001251014,154.0105555555555,154.0105555555555
160.9,163.18,162.83,161.18,3651.65,590639.72,2.52659032526563,2.83555313845459,-0.6179256263779198,62.233444772375016,154.2043243243243,154.2043243243243
158.91,162.4,161.18,159.82,2324.96,373431.78,2.193819502049166,2.707179749063647,-1.0267204940289618,56.13892237670935,154.35210526315785,154.35210526315785
134.96,160.07,159.82,139.75,34608.48,4937978.7,0.38035884841588086,2.241738234197599,-3.722758771563436,21.960524770930178,153.97769230769225,153.97769230769225
138.67,142.34,139.75,140.07,15098.02,2120368.78,-1.0189747822970503,1.58950893475422,-5.216967434102541,22.767895102693373,153.62999999999994,153.62999999999994
133.0,140.07,140.07,137.54,15461.6,2106636.97,-2.296568965736185,0.8122106981299636,-6.217559327732297,20.92469374092599,153.2375609756097,153.2375609756097
136.95,139.82,137.54,138.23,7404.22,1025852.18,-3.2173870668702875,0.006222579243712259,-6.447219292228,22.761225851870876,152.88023809523804,152.88023809523804
137.53,139.5,138.23,138.75,4373.35,605122.55,-3.861372917860905,-0.7673491667421526,-6.188047502237504,24.190192116229355,152.55162790697668,152.55162790697668
137.92,138.94,138.75,138.64,1463.58,202599.59,-4.329875426355642,-1.4798932132527993,-5.699964426205685,24.08866702305727,152.2354545454545,152.2354545454545
138.4,139.55,138.64,139.19,2975.0,413304.16,-4.604549411195535,-2.1048516736213942,-4.999395475148281,25.766273255316236,151.9455555555555,151.9455555555555
137.53,141.9,139.19,138.9,8764.79,1224265.49,-4.789450052033828,-2.6417900588759387,-4.295319986315779,25.446943759679627,151.66195652173906,151.66195652173906
136.43,138.94,138.9,137.64,4145.51,570172.16,-4.97745957692527,-3.108936984641507,-3.737045184567526,24.052184710533496,151.36361702127655,151.36361702127655
131.4,137.78,137.64,131.84,6663.18,899513.1,-5.519779438219871,-3.591116228313633,-3.857326419812476,18.91326160511835,150.95687499999994,150.95687499999994
131.42,135.42,131.84,134.7,6857.86,913688.72,-5.658119160044578,-4.004524190104317,-3.307189939880521,27.17584346332319,150.62510204081627,150.62510204081627
134.01,135.98,134.7,135.38,2110.82,285093.45,-5.6486100110385,-4.333346047393525,-2.6305279272899487,29.027596307452683,150.32019999999994,150.32019999999994
134.85,137.66,135.38,137.37,1883.59,256821.57,-5.420760857301332,-4.550831492619886,-1.7398587293628918,34.293183743259675,150.14399999999995,150.06627450980386
137.37,138.98,137.37,138.0,3546.04,489458.47,-5.1309470864178195,-4.6668556711890155,-0.9281828304576081,35.91421423691227,149.96759999999995,149.83423076923071
137.43,139.02,138.0,138.8,2138.78,295269.99,-4.782505845934196,-4.689985875162206,-0.1850399415439803,38.00575464167314,149.82119999999995,149.62603773584902
135.0,138.8,138.8,137.56,3253.71,445805.49,-4.55242102394763,-4.662472744077347,0.2201034402594324,36.04224618761491,149.64439999999996,149.40259259259255
136.8,138.45,137.56,137.17,1331.17,183339.53,-4.350892189834667,-4.600156341787134,0.4985283039049335,35.422392889713365,149.48279999999997,149.18018181818178
135.32,137.17,137.17,135.96,1993.07,271698.96,-4.238666262347465,-4.527858055399196,0.5783835861034614,33.49754886435488,149.28699999999998,148.9441071428571
135.96,137.03,135.96,136.97,495.63,67725.65,-4.022722778213648,-4.42683069757151,0.8082158387157232,36.59471018198016,149.1066,148.73403508771923
